X1_1,resid,hhid,mail,vote2006,vote2008,vote2010,vote2011,vote2012,vote2014,d_age,age_miss,d_gend_female,d_gend_unknown,d_race_blk,d_race_hsp,d_race_oth,d_days,days_miss,sdef,never_voted,open,vote_year
189,189,1440,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1539,0,1,1,1,0
191,191,2686,1,0,0,0,0,0,0,25,0,1,0,1,0,0,1890,0,1,1,0,0
194,194,12250,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1324,0,1,1,0,0
196,196,11044,1,0,0,0,0,0,0,45,0,0,0,1,0,0,2227,0,0,1,0,0
198,198,4619,1,0,0,0,0,0,0,40.967773,1,1,0,0,0,0,2044,0,1,1,0,0
207,207,16547,1,0,1,0,0,1,0,31,0,1,0,1,0,0,832,0,0,0,0,2012
209,209,8307,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,607,0,0,1,1,0
210,210,17806,1,0,0,0,0,0,0,64,0,0,0,0,0,0,81,0,0,1,0,0
211,211,1386,1,0,0,0,0,0,0,40.967773,1,1,0,0,0,0,1887,0,1,1,0,0
220,220,9851,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1982,0,1,1,1,0
224,224,6756,1,0,0,0,0,0,0,64,0,0,0,0,0,0,1399,0,1,1,0,0
226,226,7452,1,0,0,0,0,0,0,23,0,0,0,1,0,0,1246,0,1,1,0,0
232,232,14372,1,0,0,0,0,0,0,26,0,1,0,0,0,0,2014,0,1,1,0,0
234,234,8947,1,0,0,0,0,0,0,23,0,1,0,0,0,0,-209,0,0,1,0,0
243,243,6178,1,0,0,0,0,0,0,26,0,1,0,1,0,0,1181,0,1,1,1,0
244,244,1739,1,0,0,0,0,0,0,95,0,1,0,1,0,0,1870,0,1,1,0,0
245,245,4830,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1258,0,1,1,0,0
246,246,14205,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1133,0,1,1,0,0
252,252,13382,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,763,0,0,1,1,0
256,256,2157,1,0,0,0,0,0,0,40.967773,1,0,1,0,0,0,1455,0,1,1,0,0
262,262,15809,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1124,0,1,1,1,0
263,263,6733,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,2239,0,0,1,0,0
266,266,4483,1,0,0,0,0,0,0,25,0,1,0,1,0,0,2006,0,1,1,1,0
270,270,4637,1,0,0,0,0,0,0,25,0,0,1,1,0,0,1210,0,1,1,1,0
271,271,10915,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1293,0,1,1,1,0
274,274,3433,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1131,0,1,1,0,0
279,279,377,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1231,0,1,1,1,0
280,280,3476,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1170,0,1,1,0,0
